id,title,listing_type,price_inr,beds,floor,total_floors,property_type,lat,lng,area,url,seller,seller_type,posted,description
hyd-sale-01,"3 BHK Apartment, Financial District",sale,16800000,3,18,22,apartment,17.4168,78.3412,"Nanakramguda, Financial District",https://housing.com/in/buy/resale/page/20637537-3-bhk-apartment-in-financial-district-for-rs-16800000,Housing.com listing,agent,2026-07-06,"Ready-to-move 3 BHK; 1,800 sq ft built-up, floor 18 of 22."
hyd-sale-02,"3 BHK Apartment, Stone Residency",sale,10700000,3,3,5,apartment,17.4148,78.3386,"Financial District, Hyderabad",https://housing.com/in/buy/resale/page/19469243-3-bhk-apartment-in-financial-district-for-rs-10700000,Housing.com listing,agent,2026-02-08,"Unfurnished 3 BHK; 1,650 sq ft built-up, floor 3 of 5."
hyd-sale-03,"3 BHK Apartment, Sukhii Ubuntu",sale,19800000,3,28,36,apartment,17.4137,78.3401,"Nanakramguda, Financial District",https://housing.com/in/buy/resale/page/21032649-3-bhk-apartment-in-financial-district-for-rs-19800000,Housing.com listing,agent,2026-09-02,"Unfurnished 3 BHK; 1,710 sq ft built-up, floor 28 of 36."
hyd-sale-04,"3 BHK Apartment, Financial District",sale,20459400,3,26,61,apartment,17.416,78.3429,"Financial District, Hyderabad",https://housing.com/in/buy/resale/page/18568945-3-bhk-apartment-in-financial-district-for-rs-20459400,Housing.com listing,owner,2026-02-12,"Unfurnished 3 BHK; 2,379 sq ft built-up, floor 26 of 61."
hyd-sale-05,"3 BHK Apartment, Signature Reality",sale,20500000,3,8,11,apartment,17.4095,78.348,"Kokapet, Financial District",https://housing.com/in/buy/resale/page/19904766-3-bhk-apartment-in-financial-district-for-rs-20500000,Housing.com listing,agent,2026-05-05,"Ready-to-move 3 BHK; 2,155 sq ft built-up, floor 8 of 11."
hyd-sale-06,"3 BHK Apartment, Nanakramguda",sale,25500000,3,35,40,apartment,17.4152,78.3393,"Nanakramguda, Financial District",https://housing.com/in/buy/resale/page/18162769-3-bhk-apartment-in-financial-district-for-rs-22200000,Housing.com listing,agent,2026-05-01,"Ready-to-move 3 BHK; 2,220 sq ft built-up, floor 35 of 40."
hyd-sale-07,"3 BHK Apartment, Unnati Land and Infra",sale,9130000,3,5,10,apartment,17.4182,78.3364,"Financial District, Hyderabad",https://housing.com/in/buy/resale/page/17658825-3-bhk-apartment-in-financial-district-for-rs-9130000,Housing.com listing,agent,2026-03-14,"Unfurnished 3 BHK; 1,660 sq ft built-up, floor 5 of 10."
hyd-sale-08,"3 BHK Apartment, Lansum Etania",sale,35000000,3,2,18,apartment,17.4105,78.345,"Financial District, Hyderabad",https://housing.com/in/buy/resale/page/20003946-3-bhk-apartment-in-financial-district-for-rs-35000000,Housing.com listing,agent,2026-04-20,"Semi-furnished 3 BHK; 2,450 sq ft built-up, floor 2 of 18."
hyd-rent-01,"2 BHK Apartment, Prestige High Fields",rent,64500,2,20,34,apartment,17.4203,78.3446,"Nanakramguda, Financial District",https://housing.com/rent/20102848-1283-sqft-2-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,agent,2026-04-28,"Fully furnished 2 BHK; ₹64,500/month, 1,283 sq ft, floor 20 of 34."
hyd-rent-02,"3 BHK Apartment, ASBL Spectra",rent,72000,3,23,40,apartment,17.4142,78.3382,"Financial District, Hyderabad",https://housing.com/rent/21033215-1980-sqft-3-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,owner,2026-09-08,"Fully furnished 3 BHK; ₹72,000/month, 1,980 sq ft, floor 23 of 40."
hyd-rent-03,"2 BHK Apartment, Prestige High Fields",rent,50900,2,11,34,apartment,17.4201,78.3444,"Nanakramguda, Financial District",https://housing.com/rent/20040588-1283-sqft-2-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,agent,2026-09-06,"Semi-furnished 2 BHK; ₹50,900/month, 1,283 sq ft, floor 11 of 34."
hyd-rent-04,"3 BHK Apartment, ASBL Spectra",rent,80000,3,13,40,apartment,17.414,78.3384,"Financial District, Hyderabad",https://housing.com/rent/20619715-2100-sqft-3-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,agent,2026-07-03,"Semi-furnished 3 BHK; ₹80,000/month, 2,100 sq ft, floor 13 of 40."
hyd-rent-05,"3 BHK Apartment, Prestige High Fields",rent,80000,3,24,30,apartment,17.4206,78.3448,"Financial District, Hyderabad",https://housing.com/rent/19673928-1500-sqft-3-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,agent,2026-05-12,"Fully furnished 3 BHK; ₹80,000/month, 1,500 sq ft, floor 24 of 30."
hyd-sale-09,"3 BHK Apartment, ASBL Spectra",sale,25000000,3,,,apartment,17.4143,78.3383,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/3bhk-flats-fid/,Housing.com listing,agent,2026-09-10,"Resale 3 BHK at ASBL Spectra; ₹2.5 Cr, 2,220 sq ft. Unit and building floor were not published."
hyd-sale-10,"3 BHK Apartment, ASBL Spectra",sale,21000000,3,,,apartment,17.4141,78.3385,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/resale-fid/,Housing.com listing,agent,2026-09-10,"Resale 3 BHK at ASBL Spectra; ₹2.1 Cr, 1,900 sq ft. Unit and building floor were not published."
hyd-sale-11,"3 BHK Apartment, Pacifica Hillcrest",sale,25900000,3,,,apartment,17.419,78.3428,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/resale-fid/,Housing.com listing,agent,2026-09-10,"Ready-to-move resale 3 BHK at Pacifica Hillcrest; ₹2.59 Cr, 2,007 sq ft. Unit and building floor were not published."
hyd-sale-12,"4 BHK Apartment, Pacifica Hillcrest",sale,23000000,4,,,apartment,17.4192,78.3426,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/4bhk-in-2-crores-to-3-crores-fid/,Housing.com listing,agent,2026-09-07,"Ready-to-move resale 4 BHK at Pacifica Hillcrest; ₹2.3 Cr, 2,630 sq ft. Unit and building floor were not published."
hyd-sale-13,"3 BHK Apartment, Jayabheri Orange County",sale,28000000,3,,,apartment,17.418,78.346,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/3bhk-flats-fid/,Housing.com listing,agent,2026-08-20,"Ready-to-move resale 3 BHK; ₹2.8 Cr, 2,540 sq ft. Unit and building floor were not published."
hyd-sale-14,"3 BHK Apartment, Myscape Palma",sale,26000000,3,,,apartment,17.4109,78.342,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/3bhk-flats-fid/,Housing.com listing,agent,2026-09-09,"New-booking 3 BHK at Myscape Palma; ₹2.6 Cr, 2,400 sq ft. Unit and building floor were not published."
hyd-sale-15,"3 BHK Apartment, Myscape Songs Of The Sun",sale,32000000,3,,,apartment,17.4114,78.3416,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/3bhk-flats-fid/,Housing.com listing,agent,2026-09-09,"New-booking 3 BHK; ₹3.2 Cr, 2,860 sq ft. Unit and building floor were not published."
hyd-sale-16,"3 BHK Apartment, Sumadhura The Olympus",sale,36000000,3,,,apartment,17.4169,78.343,"Waverock, Financial District",https://housing.com/in/buy/hyderabad/financial-district-gid/3bhk-flats-fid/,Housing.com listing,agent,2026-08-22,"Resale 3 BHK at Sumadhura The Olympus; ₹3.6 Cr, 3,000 sq ft. Unit and building floor were not published."
hyd-sale-17,"3 BHK Apartment, Sukhii Ubuntu",sale,25500000,3.5,,,apartment,17.4138,78.3403,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/resale-fid/,Housing.com listing,agent,2026-09-03,"Resale 3.5 BHK at Sukhii Ubuntu; ₹2.55 Cr, 2,230 sq ft. Unit and building floor were not published."
hyd-sale-18,"3 BHK Apartment, Lansum Etania",sale,32000000,3,,,apartment,17.4108,78.3447,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/resale-fid/,Housing.com listing,agent,2026-08-25,"Ready-to-move resale 3 BHK; ₹3.2 Cr, 2,460 sq ft. Unit and building floor were not published."
hyd-sale-19,"4 BHK Villa, Myscape Loft",sale,65000000,4,,,villa,17.412,78.336,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/villas-fid/,Housing.com listing,agent,2026-09-10,"Ready-to-move 4 BHK villa at Myscape Loft; ₹6.5 Cr, 5,200 sq ft. Storey count was not published."
hyd-sale-20,"4 BHK Villa, Jayabheri Temple Tree",sale,410000000,4,,,villa,17.4118,78.339,"Financial District, Hyderabad",https://housing.com/in/buy/hyderabad/financial-district-gid/villas-fid/,Housing.com listing,agent,2026-09-10,"Ready-to-move 4 BHK villa at Jayabheri Temple Tree; ₹41 Cr, 12,000 sq ft. Storey count was not published."
hyd-sale-21,"5 BHK Villa, Financial District",sale,350000000,5,,,villa,17.413,78.334,"Kokapet, Financial District",https://housing.com/in/buy/hyderabad/financial-district-gid/villas-fid/,Housing.com listing,agent,2026-09-10,"Ready-to-move 5 BHK villa near Kokapet; ₹35 Cr, 12,000 sq ft. Storey count was not published."
hyd-rent-06,"2.5 BHK Apartment, Prestige High Fields",rent,65000,2.5,7,34,apartment,17.4199,78.3441,"Nanakramguda, Financial District",https://housing.com/rent/20025946-1492-sqft-2.5-bhk-apartment-on-rent-in-financial-district-hyderabad,Housing.com listing,agent,2026-06-01,"Semi-furnished 2.5 BHK; ₹65,000/month, 1,492 sq ft, floor 7 of 34."
